transaction_id,transaction_date,transaction_time,transaction_amount,transaction_category,customer_location,merchant_name,merchant_location,transaction_mode,amount_paid,previous_transactions_count,merchant_category,credit_card_id,status
1,2024-10-01,8:03:46,2421.98,Clothing,Bangalore,D Mart,Hyderabad,ATM,2421.98,6,Retail,1448,Pending
2,2024-10-01,16:21:10,938.8,Healthcare,Mumbai,More,Delhi,Online,938.8,6,Grocery,1491,Pending
3,2024-10-01,18:40:55,703.42,Electronics,Delhi,D Mart,Delhi,Online,703.42,10,Apparel,699,Success
4,2024-10-01,13:57:05,3477.48,Electronics,Hyderabad,Metro,Mumbai,Online,3477.48,7,Electronics,1786,Pending
5,2024-10-01,2:01:23,3904.65,Clothing,Pune,More,Delhi,ATM,3904.65,3,Grocery,2206,Failed
6,2024-10-01,23:06:14,2201.39,Electronics,Bangalore,Big Bazaar,Hyderabad,Online,2201.39,14,Retail,1878,Success
7,2024-10-01,18:46:43,3939.88,Electronics,Mumbai,More,Chennai,Online,3939.88,14,Grocery,1862,Pending
8,2024-10-01,6:13:54,4156.7,Clothing,Kolkata,Reliance Fresh,Kolkata,ATM,4156.7,17,Furniture,2001,Pending
9,2024-10-01,2:04:12,4929.83,Furniture,Delhi,Metro,Hyderabad,ATM,4929.83,19,Grocery,1842,Failed
10,2024-10-01,8:23:42,2411.99,Healthcare,Pune,More,Bangalore,POS,2411.99,9,Furniture,1407,Success
11,2024-10-01,10:12:38,4667.96,Groceries,Delhi,D Mart,Bangalore,POS,4667.96,18,Apparel,1798,Success
12,2024-10-01,14:32:34,4436.26,Groceries,Pune,HyperCity,Mumbai,Online,4436.26,18,Retail,1710,Pending
13,2024-10-01,12:37:08,2656.95,Healthcare,Kolkata,Metro,Mumbai,ATM,2656.95,6,Furniture,1514,Success
14,2024-10-01,5:31:28,4095.24,Electronics,Mumbai,Metro,Pune,ATM,4095.24,18,Retail,2576,Success
15,2024-10-01,1:20:34,2925.51,Groceries,Bangalore,More,Hyderabad,Online,2925.51,9,Electronics,1784,Failed
16,2024-10-01,13:53:47,2970.08,Electronics,Mumbai,Big Bazaar,Chennai,Online,2970.08,5,Grocery,3016,Pending
17,2024-10-01,3:21:00,3363.12,Healthcare,Delhi,Metro,Chennai,Online,3363.12,14,Furniture,3156,Success
18,2024-10-01,15:21:43,3819.83,Clothing,Chennai,Spencer's,Kolkata,POS,3819.83,11,Retail,2493,Success
19,2024-10-01,9:29:56,3944.66,Groceries,Pune,D Mart,Pune,ATM,3944.66,1,Retail,1905,Failed
20,2024-10-01,3:44:31,1242.16,Healthcare,Mumbai,D Mart,Kolkata,Online,1242.16,16,Retail,1622,Failed
21,2024-10-01,3:31:00,4026.42,Healthcare,Kolkata,More,Mumbai,ATM,4026.42,20,Retail,1524,Pending
22,2024-10-01,6:49:26,1173.99,Clothing,Bangalore,D Mart,Kolkata,Online,1173.99,17,Electronics,3082,Failed
23,2024-10-01,0:24:41,1673.62,Groceries,Hyderabad,More,Hyderabad,ATM,1673.62,19,Furniture,1680,Failed
24,2024-10-01,17:21:55,1792.33,Healthcare,Pune,More,Delhi,Online,1792.33,10,Furniture,1941,Pending
25,2024-10-01,20:35:34,4047.39,Clothing,Chennai,More,Mumbai,ATM,4047.39,14,Apparel,2240,Success
26,2024-10-01,11:04:17,698.66,Groceries,Mumbai,Reliance Fresh,Delhi,POS,698.66,12,Electronics,3078,Success
27,2024-10-01,12:54:35,2126.6,Healthcare,Bangalore,Croma,Delhi,POS,2126.6,13,Furniture,1574,Success
28,2024-10-01,9:41:10,1561.11,Electronics,Pune,More,Hyderabad,Online,1561.11,11,Electronics,2582,Pending
